,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Namatanai,-3.67,152.43,80.62,80,2,5.84,PG,1592514893
1,Ushuaia,-54.8,-68.3,35.6,69,26,4.7,AR,1592514950
2,Busselton,-33.65,115.33,39.0,98,49,3.18,AU,1592514800
3,Cândido Mendes,-1.45,-45.72,76.03,94,82,5.12,BR,1592514951
4,Balakhninskiy,58.01,114.28,50.16,81,2,1.48,RU,1592514951
5,Lerwick,60.15,-1.15,53.6,93,82,12.75,GB,1592514952
6,Bluff,-46.6,168.33,39.0,83,0,3.0,NZ,1592514952
7,Khatanga,71.97,102.5,52.2,57,55,12.88,RU,1592514908
8,Mataura,-46.19,168.86,39.0,83,0,3.0,NZ,1592514871
9,Puerto Ayora,-0.74,-90.35,84.2,51,67,14.99,EC,1592514808
10,Ponta Delgada,37.73,-25.67,64.4,77,75,8.05,PT,1592514953
11,Boyabat,41.47,34.77,62.04,74,100,2.86,TR,1592514954
12,Hokitika,-42.72,170.97,49.53,63,93,7.47,NZ,1592514954
13,Nikolskoye,59.7,30.79,68.0,72,75,2.53,RU,1592514955
14,Qaanaaq,77.48,-69.36,35.19,85,0,1.72,GL,1592514949
15,Pathein,16.78,94.73,77.36,93,100,6.29,MM,1592514955
16,Port-Cartier,50.03,-66.87,98.6,23,75,14.99,CA,1592514956
17,Najrān,17.49,44.13,87.8,14,40,1.9,SA,1592514932
18,Labuhan,-6.88,112.21,77.34,88,2,7.43,ID,1592514957
19,Kiunga,-6.12,141.29,72.36,98,89,1.95,PG,1592514957
